酒名,url,酒譜,介紹,步驟,口味,評論
G.C.S.,https://www.liquor.com/recipes/g-c-s/,"{'Gin': '11/2 ounce', 'Campari': '3/4 ounce', 'Maple beet shrub': '1 ounce'}","['The beautiful thing about shrubs is that there are only two rules: something sweet and something acidic. Typically some variety of sugar does the heavy lifting, but here maple syrup offers a perfect hit of character and complexity. And although the beets maybe seem like an odd or unnecessary addition, they actually keep the sweetness in check with a welcome earthiness, and the shrub makes a fantastic mixer in this gin and Campari cocktail.']","['Add the gin, Campari, maple beet shrub and ice to a cocktail shaker and shake well.', ""Strain into a rocks glass, or coupé if you're feeling fancy.""]",Bitter,NULL
Smuggler’s Cove Straits Sling,https://www.liquor.com/recipes/smugglers-cove-straits-sling/,"{'Bénédictine': '1/4 ounce', 'Cherry Heering': '1/2 ounce', 'Plymouth gin': '11/2 ounce', 'lemon juice': '3/4 ounce', 'demerara syrup ': '1/2 ounce', 'orange bitters': '1 dash', 'Angostura bitters': '1 dash', 'club soda': '2 ounce'}","[""You don't need a pegleg, a parrot or a tri-cornered hat to enjoy this drink.""]","['Add all the ingredients except the club soda to a mixing glass and fill with ice.', 'Stir, and strain into a Collins glass filled with fresh ice.', 'Top with the club soda and garnish with a lemon slice.']",Bitter,NULL
Cardamom,https://www.liquor.com/recipes/cardamom/,"{'pistachio-fat-washed vodka': '11/2 ounce', 'Brazilian espresso': '11/2 ounce', 'cardamom syrup': '1/2 ounce'}","[""Inspired by the earthy flavors of cardamom, this twist on an espresso martini that appeared on the opening menu at New York City's spice-inspired East Village bar Mace combines espresso, pistachio-fat-washed vodka and cardamom syrup.""]","['Add all ingredients into a shaker with ice and shake.', 'Double-strain into a punch cup.', 'Garnish with 3 cardamom pods.']",Bitter,NULL
Banana Daiquiri,https://www.liquor.com/recipes/banana-daiquiri/,"{'aged rum': '2 ounce', 'Tempus Fugit crème de banane liqueur ': '1/2 ounce', 'fresh lime juice': '1 ounce', 'Simple syrup': '1/4 ounce'}","['The Banana Daiquiri means different things to different people. To some, it’s an icy-tall blender drink, beloved as much for its fruitiness as its frothiness. To others, it’s a classic shaken Daiquiri accented with a hint of banana. This recipe belongs to the latter. To get the most of your Banana Daiquiri, try a few different rums, as the range in styles and flavors will affect the sweetness and balance of the cocktail.']","['Add all ingredients into a shaker with ice and shake until well-chilled.', 'Strain into a chilled coupe.', 'Garnish with a banana slice.']",Sweet,NULL
Spicy Margarita,https://www.liquor.com/recipes/spicy-margarita/,"{'Lime': '1 wedge', 'Jalapeño coins ': '2', 'Blanco tequila': '2 ounce', 'Fresh lime juice': '1 ounce', 'Orange liqueur': '1/2 ounce', 'Agave syrup': '1/2 ounce'}","['The Spicy Margarita succeeds where so many of its siblings seem to fail. That is to say, it refocuses the classic tequila cocktail without losing what’s essential to its success: that timeless blend of sweet, sour and earthy flavors. The key is to use fresh jalapeño. Two muddled coins, with seeds removed, yields a conservatively spicy drink. But for a spicier Spicy Margarita, throw in a third coin. It’s the perfect cocktail to fire up your summer.']","['Rub the rim of a rocks glass with a lime wedge, dip in salt to coat and set aside.', 'Add the jalapeño coins into a shaker and gently muddle.', 'Add remaining ingredients and ice and shake until well-chilled.', 'Strain into prepared glass over fresh ice.', 'Garnish with a jalapeño coin.']",Sweet,NULL
Blue Hawaii,https://www.liquor.com/recipes/blue-hawaii/,"{'Vodka': '3/4 ounce', 'Light rum': '3/4 ounce', 'Blue curaçao': '1/2 ounce', 'Pineapple juice': '3 ounce', 'Sweet-and-sour mix': '1 ounce'}","['The Blue Hawaii cocktail was born at Honolulu’s Kaiser Hawaiian Village (now Hilton Hawaiian Village Waikiki Resort). In 1957, a sales representative of Dutch distiller Bols asked legendary bartender Harry Yee to design a drink that featured its blue color of curaçao liqueur. After experimenting with several variations, Yee settled on a version somewhat different than the most popular version today but with the signature blue color, pineapple wedge and cocktail umbrella. It was Yee who named the cocktail that shares its name with the 1961 Elvis Presley film.”', 'There are numerous variations of this recipe, such as the Blue Hawaiian, which uses crème de coconut. But this is the authentic recipe.', 'This recipe originally appeared as part of “Meet the Updated Blue Hawaii. It’s a Drink You Should Know.”']","['Add all ingredients into a shaker with ice and shake until well-chilled. (Or blend all ingredients with ice in a blender.).', 'Strain into a Hurricane glass over crushed or pebble ice. (Or pour from blender into glass with no ice.).', 'Garnish with a pineapple wedge and cocktail umbrella.']",Sweet,NULL
Bebbo,https://www.liquor.com/recipes/bebbo/,"{'London dry gin': '11/2 ounce', 'honey syrup ': '1 ounce', 'Fresh lemon juice': '3/4 ounce', 'fresh blood orange juice': '1/4 ounce'}",['Put summer’s blood oranges to good use in this light citrusy gin drink from Ted Haigh’s 2004 book “Vintage Spirits and Forgotten Cocktails.”'],"['Pour ingredients into a shaker with ice and shake for 30 seconds.', 'Fine-strain into a chilled coupe.', 'Garnish with a lemon twist.']",Sweet,NULL
Earl Grey MarTEAni,https://www.liquor.com/recipes/earl-grey-marteani/,"{'Earl Grey–tea-infused Tanqueray gin ': '11/2 ounce', 'Fresh lemon juice': '3/4 ounce', 'Simple syrup': '1 ounce', 'egg white': '1 ounce'}","['This original twist on the Gin Sour comes by way of one of the pioneers of the modern cocktail movement, Audrey Saunders of New York City’s Pegu Club.']","['Take a chilled coupe glass, half-rim it with sugar and set aside.', 'Pour all ingredients into a shaker without ice and dry-shake vigorously (at least 10 seconds).', 'Add ice and shake again.', 'Strain into prepared coupe.', 'Garnish with a lemon twist.', '*Earl Grey tea-infused Tanqueray gin: Add 4 tbsp Earl Grey tea leaves into a 750 mL bottle of Tanqueray gin (or other high-proof dry gin), cap and shake. Let sit at room temperature for at least 2 hours. Strain the infused gin through a coffee filter into a separate container. Rinse out bottle to remove loose tea, and pour gin back into clean bottle. Can be stored indefinitely if refrigerated.']",Sweet,"[[""This was my first drink at Pegu Club on my first visit in (I believe) 2009. It was shaken and served by Kenta Goto. I remember being pleasantly surprised at the cocktail's dryness, from the tannins in the tea. As somewhat of a tea snob, it has always amazed me that steeping for this long in alcohol does not pull out the harshest flavors in the tea leaves, but it really does work. Just be sure to set a timer: you do not want to steep it overnight! Lately, I've been a huge fan of Rishi's different Earl Grey varieties--the green/oolong variety is particularly lovely. Personal recommendation: add one or two star anise pods to the steep for added depth--and that 1980s Bigelow brand Earl Grey aroma. Also, I've found that Tanqueray Rangpur is a really excellent choice for this cocktail.""], [""We didn't want to commit a whole bottle of gin to JUST earl grey, so we steeped a tea bag in 6-8 oz worth until we got a mid brown tea color (not weak but not english breakfast strong), about 7-10 min.\nThat's by far the fussiest part, the rest was a breeze.\n(We also employed a reverse dry shake for maximum foam and omitted the sugar rim).""]]"
Irish Coffee,https://www.liquor.com/recipes/irish-coffee-2/,"{'Irish whiskey': '11/2 ounce', 'brown sugar': '2 tsp', 'brewed coffee': 'hot'}","['Irish Coffee may not be the first coffee drink with alcohol, but it has become one of the most famous. Combining coffee with Irish whiskey, brown sugar and lightly whipped cream, Irish Coffee is a hot, creamy classic.', 'There are many tall tales about the Irish Coffee’s origins. The most credible version attributes the cocktail to Joe Sheridan, the head chef of the restaurant at the Foynes Flying Boat terminal in County Limerick in the early 1940s. Legend has it that when he first served it and was asked if it was Brazilian coffee, Sheridan cheekily replied that it was “Irish coffee.”', 'The drink was later made famous by Staton Deplante, who worked at the Buena Vista Cafe in San Francisco during the 1950s. Deplante wrote about the drink frequently in a travel column that was read widely across the States and piqued curiosity about Irish Coffee.']","['Filling an Irish Coffee mug with hot water, let sit for 2 minutes, then discard the water.', 'Add the whiskey and sugar to the glass, fill with the coffee, and stir.', 'Top with an inch of unsweetened lightly whipped cream.']",Sweet,[['The Buena Vista uses white cane sugar...not brown as described above.']]
Reggae Rum Punch,https://www.liquor.com/recipes/reggae-rum-punch/,"{'Jamaican overproof white rum': '2 ounce', 'fresh orange juice': '2 ounce', 'pineapple juice': '2 ounce', 'fresh lime juice': '1/2 ounce', 'strawberry syrup': '1/2 ounce'}","['Jamaican rum is on the rise, which is no surprise to Ian Burrell, also known as The Rum Ambassador, who created the world’s first rum festival. He cites the implementation of a G.I. label (or geographical indicator) that ensures bottles adhere to specific rules and regulations when being produced, similar to cognac and Champagne.', '“This is great news for authentic Jamaican rums, which take pride in their big, robust, spicy and aromatic flavors that are the base of any good rum punch or fruity cocktail,” says Burrell. He offers his very own punch as an homage to the spirit. “It’s a drink for all occasions, especially holidays,” he says. Its brightness comes from a combination of fresh fruit juices, making it the perfect choice for savory food.', 'This recipe originally appeared as part of “Give Your Punch Bowl a Purpose with These 3 Holiday Recipes.”']","['Add all ingredients into a shaker with ice and shake.', 'Strain into a highball glass over fresh ice.', 'Garnish with a pineapple slice and mint sprig.']",Sweet,"[[""This is similar to a Rum Runner and it is spectacular! I don't like mint with cocktails... or much else. It detracts from the pineapple and citrus aromas. I tossed it and for the next round I used an orange peel curl. Most everyone squeezed it an placed it in their drinks. Also, tangerine juice is a fine replacement for orange juice- especially, if you're fortunate to find jugs of fresh-squeezed (Natalie's) at your local market. It's amazing.""], ['strawberry syrup how is it made also ounces to mls pls'], ['2 oz = about 60 ml\n1/2 oz = about 15 ml\nThe strawberry syrup recipe in at the bottom of the recipe. I add a dash of salt to heighten the flavor. as you should with any fruit.']]"
Mojito,https://www.liquor.com/recipes/mojito/,"{'White rum': '2 ounce', 'Mint leaves': '3', 'Fresh lime juice': '3/4 ounce', 'Simple syrup': '1/2 ounce', 'Club soda': 'to top'}","['To many people, the Mojito represents the perfect rum cocktail. The origins of the drink can be traced back to Cuba and the 16th-century Cuban cocktail El Draque, named for Sir Francis Drake.', 'Appropriately, almost all of the ingredients in the Mojito are indigenous to Cuba. Rum, lime, mint and sugar (derived from cane juice) are mixed with soda water to create a refreshing classic cocktail.', 'The Mojito is traditionally served over ice in a highball glass and often associated with summer. Like your cocktails with literary references? You’re in luck. The Mojito is said to have been a favorite of Ernest Hemingway.', 'While the Mojito is slightly more labor-intensive than other cocktails because it involves muddling the mint, the end result is a delicious, refreshing cocktail that can be enjoyed any time of the year.']","['Lightly muddle the mint in a shaker.', 'Add the rum, lime juice, simple syrup and ice and give it a brief shake.', 'Strain into a highball glass over fresh ice.', 'Top with the club soda.', 'Garnish with a mint sprig and lime wheel.']",Sweet,"[['I would say a splash of club soda. Too much dilutes the drink and takes away from the flavor.'], ['White sugar okay? I’d prefer that to having to make up a bottle of simple syrup.'], ['Simple Syrup is ""simple"" to make and keeps well for quite some time. It will also taste much better than just adding straight up white sugar.'], ['White sugar is OK. For 1/2 oz simple syrup, you want to use 2 tsp white sugar.'], ['Just say an amount of club soda.'], ['2 oz if flavor and balance are you priority, 4 oz if you want a drink that feels like “more.”']]"
